Sun,8/6/2017,Summer Holiday Series 2 of 6 - Back to Back,1030,3,,
Mon ,8/7/2017,Junior week starts,0930,,1,
Tue,8/8/2017,Adult Training 19,1800,,,
Thu,8/10/2017,Twilight Series 2 of 7 ,1830,G,,
Fri,8/11/2017,Junior week finale,0930,,1,
Fri,8/11/2017,TGIF,1800,,,
Sun,8/13/2017,Summer Holiday Series 3 of 6  - Back to Back,1030,4,,
Tue,8/15/2017,Adult Training 20,1800,, ,
Thu,8/17/2017,Twilight Series 3 of 7 & RNLI Pennant,1830,H,,
Fri,8/18/2017,TGIF,1800,,,
Sat,8/19/2017,Fleming Trophy - Durlston Bay,1400,5,,
Sun,8/20/2017,Summer Holiday Series 4 of 6 - Back to Back,1030,6,,
Tue,8/22/2017,Adult Training 21,1800,,,
Thu,8/24/2017,Twilight Series 4 of 7,1830,J,,
Fri,8/25/2017,TGIF,1800,,,
Sat,8/26/2017,Bent /Macdona Single Handed Cups,1400,7,,
Sun,8/27/2017,Summer Holiday Series 5 of 6 - Back to Back,1030,8,,
Mon ,8/28/2017,Bank holiday Monday,,,,
Tue,8/29/2017,Adult Training 22,1800,,,
Thu,8/31/2017,Twilight Series 5 of 7,1830,A,,
Fri,9/1/2017,TGIF,1800,,,
Sat,9/2/2017,Commodores Cup - Peveril Ledge Buoy,1400,1,,
Sun,9/3/2017,Summer Holiday Series 6 of 6 - Back to Back,1030,9,Air show,
Tue,9/5/2017,Adult Training 23,1800,,,
Thu,9/7/2017,Twilight Series 6 of 7,1830,B,,
Fri,9/8/2017,TGIF,1800,,,
Sat,9/9/2017,Fun Series 1 /Cup Reserve,1400,2,,
Sun,9/10/2017,Autumn Series 1 of 7,1100,3,,
Tue,9/12/2017,Adult Training 24,1800,,,
Thu,9/14/2017,Twilight Series 7 of 7,1830,C,,
Fri,9/15/2017,TGIF ,1800,,,
Sat,9/16/2017,Fun Series 2 /Cup Reserve,1400,4,,
Sun,9/17/2017,Autumn Series 2 of 7,1100,5,,
Tue,9/19/2017,Adult Training 25  - last one,1800,,,
Fri,9/20/2017,TGIF - last one,1800,,,
Sat,9/21/2017,Fun Series 3 / Cup  Reserve,1400,6,,
Sun,9/24/2017,Autumn Series 3 of 7,1100,7,,
Sun,10/1/2017,Autumn Series 4 of 7,1100,8,,
Sun,10/8/2017,Autumn Series 5 of 7,1100,9,,
Sun,10/15/2017,Autumn Series 6 of 7,1100,1,,
Sun,10/22/2017,Autumn Series 7 of 7,1100,2,,
Sun,10/29/2017,BRITISH SUMMER TIME ENDS - CLOCKS BACK ONE HOUR,,,,
Sun,10/29/2017,Winter Fun Series,1100,,,
Tue,11/1/2017,Winter Berthing starts,,,,
Sun,11/5/2017,Boat move and Beach Clean,,,,
Sun,11/5/2017,Winter Fun Series,1100,,,
Sun,11/12/2017,Winter Fun Series,1100,,,
Sun,11/19/2017,Winter Fun Series,1100,,,
Sat,11/25/2017,AGM,1100,,,
Sun,11/26/2017,Active Sailors Meeting,1100,,,
Sat,12/2/2017,First Aid Course,0900-1700,,,
Sun,12/3/2017,Winter Fun Series,1100,,,
Sun,12/10/2017,Winter Fun Series,1100,,,
Sun,12/17/2017,Winter Fun Series,1100,,,
